Deal Name,First Name,Last Name,Email,Value,Stage,Expected Close Date,Status,Notes,Company
Enterprise Software License,John,Smith,john.smith@nomail.com,50000,Proposal,2024-12-31,open,Large enterprise deal with potential for expansion,Acme Corporation
Cloud Migration Services,Sarah,Johnson,sarah.johnson@nomail.com,35000,Qualified,2024-11-15,open,Moving from on-premise to cloud infrastructure,TechStart Inc
Annual Support Contract,Mike,Williams,mike.williams@nomail.com,12000,Negotiation,2024-10-31,open,Renewal of existing support contract,Global Industries
Website Redesign Project,Emily,Davis,emily.davis@nomail.com,25000,Lead,2024-12-15,open,Complete redesign of corporate website,Creative Agency LLC
Data Analytics Platform,David,Brown,david.brown@nomail.com,75000,Proposal,2025-01-31,open,Enterprise analytics solution implementation,DataCorp Solutions
Security Audit Services,Lisa,Martin,lisa.martin@nomail.com,18000,Qualified,2024-11-30,open,Quarterly security assessment and remediation,SecureNet Systems
Mobile App Development,Chris,Taylor,chris.taylor@nomail.com,45000,Negotiation,2024-12-20,open,iOS and Android app development project,AppDev Studios
Training Program,Jessica,Anderson,jessica.anderson@nomail.com,8000,Lead,2024-10-15,open,Employee training on new software platform,EduTech Solutions
Infrastructure Upgrade,Robert,Thomas,robert.thomas@nomail.com,95000,Proposal,2025-02-28,open,Complete infrastructure modernization project,MegaCorp Industries
Consulting Services,Amanda,Jackson,amanda.jackson@nomail.com,30000,Qualified,2024-11-20,open,Strategic consulting for digital transformation,Consulting Group Inc
API Integration Project,Daniel,White,daniel.white@nomail.com,22000,Lead,2024-12-10,open,Integration with third-party APIs,Integration Experts
Marketing Automation,Michelle,Harris,michelle.harris@nomail.com,15000,Negotiation,2024-10-25,open,Implementation of marketing automation platform,MarketPro Agency
Compliance Software,James,Martinez,james.martinez@nomail.com,40000,Proposal,2024-12-05,open,Regulatory compliance management system,ComplianceTech Corp
Customer Portal Development,Patricia,Garcia,patricia.garcia@nomail.com,55000,Qualified,2025-01-15,open,Self-service customer portal development,Portal Solutions LLC
Business Intelligence Suite,William,Rodriguez,william.rodriguez@nomail.com,65000,Lead,2025-03-31,open,Complete BI implementation with dashboards,Analytics Pro Inc
E-commerce Platform,Jennifer,Lewis,jennifer.lewis@nomail.com,85000,Proposal,2024-12-30,open,Full e-commerce platform development,E-Shop Builders
Managed Services Contract,Charles,Walker,charles.walker@nomail.com,120000,Negotiation,2025-01-01,open,Annual managed IT services contract,IT Services Group
Database Migration,Mary,Hall,mary.hall@nomail.com,28000,Qualified,2024-11-25,open,Legacy database migration to modern platform,Data Migration Experts
AI Implementation Project,Thomas,Allen,thomas.allen@nomail.com,150000,Lead,2025-06-30,open,Enterprise AI and ML implementation,AI Innovations Inc
Network Security Upgrade,Nancy,Young,nancy.young@nomail.com,42000,Proposal,2024-12-15,open,Complete network security overhaul,CyberSafe Solutions
