Deal Name,Contact Email,Contact Name,Value,Stage,Expected Close Date,Status,Notes,Company
Enterprise Software License,john.smith@nomail.com,John Smith,50000,Proposal,2024-12-31,open,Large enterprise deal with potential for expansion,Acme Corporation
Cloud Migration Services,sarah.johnson@nomail.com,Sarah Johnson,35000,Qualified,2024-11-15,open,Moving from on-premise to cloud infrastructure,TechStart Inc
Annual Support Contract,mike.williams@nomail.com,Mike Williams,12000,Negotiation,2024-10-31,open,Renewal of existing support contract,Global Industries
Website Redesign Project,emily.davis@nomail.com,Emily Davis,25000,Lead,2024-12-15,open,Complete redesign of corporate website,Creative Agency LLC
Data Analytics Platform,david.brown@nomail.com,David Brown,75000,Proposal,2025-01-31,open,Enterprise analytics solution implementation,DataCorp Solutions
Security Audit Services,lisa.martin@nomail.com,Lisa Martin,18000,Qualified,2024-11-30,open,Quarterly security assessment and remediation,SecureNet Systems
Mobile App Development,chris.taylor@nomail.com,Chris Taylor,45000,Negotiation,2024-12-20,open,iOS and Android app development project,AppDev Studios
Training Program,jessica.anderson@nomail.com,Jessica Anderson,8000,Lead,2024-10-15,open,Employee training on new software platform,EduTech Solutions
Infrastructure Upgrade,robert.thomas@nomail.com,Robert Thomas,95000,Proposal,2025-02-28,open,Complete infrastructure modernization project,MegaCorp Industries
Consulting Services,amanda.jackson@nomail.com,Amanda Jackson,30000,Qualified,2024-11-20,open,Strategic consulting for digital transformation,Consulting Group Inc
API Integration Project,daniel.white@nomail.com,Daniel White,22000,Lead,2024-12-10,open,Integration with third-party APIs,Integration Experts
Marketing Automation,michelle.harris@nomail.com,Michelle Harris,15000,Negotiation,2024-10-25,open,Implementation of marketing automation platform,MarketPro Agency
Compliance Software,james.martinez@nomail.com,James Martinez,40000,Proposal,2024-12-05,open,Regulatory compliance management system,ComplianceTech Corp
Customer Portal Development,patricia.garcia@nomail.com,Patricia Garcia,55000,Qualified,2025-01-15,open,Self-service customer portal development,Portal Solutions LLC
Business Intelligence Suite,william.rodriguez@nomail.com,William Rodriguez,65000,Lead,2025-03-31,open,Complete BI implementation with dashboards,Analytics Pro Inc
E-commerce Platform,jennifer.lewis@nomail.com,Jennifer Lewis,85000,Proposal,2024-12-30,open,Full e-commerce platform development,E-Shop Builders
Managed Services Contract,charles.walker@nomail.com,Charles Walker,120000,Negotiation,2025-01-01,open,Annual managed IT services contract,IT Services Group
Database Migration,mary.hall@nomail.com,Mary Hall,28000,Qualified,2024-11-25,open,Legacy database migration to modern platform,Data Migration Experts
AI Implementation Project,thomas.allen@nomail.com,Thomas Allen,150000,Lead,2025-06-30,open,Enterprise AI and ML implementation,AI Innovations Inc
Network Security Upgrade,nancy.young@nomail.com,Nancy Young,42000,Proposal,2024-12-15,open,Complete network security overhaul,CyberSafe Solutions
